Index ,Name,Alias,Display,Class,Category,Description,Unit
1,city,city,City,Categorical,Location,Name of the city,-
2,country,country,Country,Categorical,Location,Name of the country,-
3,x1,meal1,Cheap Meal,Numeric,Food,"Meal, Inexpensive Restaurant",USD
4,x2,meal2,Mid-Meal for 2,Numeric,Food,"Meal for 2 People, Mid-range Restaurant, Three-course",USD
5,x3,mcmeal,McMeal,Numeric,Food,McMeal at McDonalds (or Equivalent Combo Meal),USD
6,x4,beer.rest.domestic,Domestic Beer at Restaurants,Numeric,Beverage,"Domestic Beer (0.5 liter draught, in restaurants) ",USD
7,x5,beer.rest.imported,Imported Beer at Restraunts,Numeric,Beverage,"Imported Beer (0.33 liter bottle, in restaurants)",USD
8,x6,coffee,Cappucinno,Numeric,Beverage,"Cappuccino (regular, in restaurants)",USD
9,x7,soda,Coke/Pepsi,Numeric,Beverage,"Coke/Pepsi (0.33 liter bottle, in restaurants)",USD
10,x8,water.rest,Water,Numeric,Beverage,"Water (0.33 liter bottle, in restaurants)",USD
11,x9,milk,Milk,Numeric,Beverage,"Milk (regular), (1 liter)",USD
12,x10,bread,Bread Loaf,Numeric,Food,Loaf of Fresh White Bread (500g),USD
13,x11,rice,Rice,Numeric,Food,"Rice (white), (1kg)",USD
14,x12,eggs,Eggs,Numeric,Food,Eggs (regular) (12),USD
15,x13,cheese,Cheese,Numeric,Food,Local Cheese (1kg),USD
16,x14,chicken,Chicken,Numeric,Food,Chicken Fillets (1kg),USD
17,x15,beef,Beef,Numeric,Food,Beef Round (1kg) (or Equivalent Back Leg Red Meat),USD
18,x16,apples,Apples,Numeric,Food,Apples (1kg),USD
19,x17,bananas,Bananas,Numeric,Food,Banana (1kg),USD
20,x18,oranges,Oranges,Numeric,Food,Oranges (1kg),USD
21,x19,tomatoes,Tomatoes,Numeric,Food,Tomato (1kg),USD
22,x20,potatoes,Potatoes,Numeric,Food,Potato (1kg),USD
23,x21,onions,Onions,Numeric,Food,Onion (1kg),USD
24,x22,lettuce,Lettuce,Numeric,Food,Lettuce (1 head),USD
25,x23,water.market,Water,Numeric,Beverage,"Water (1.5 liter bottle, at the market)",USD
26,x24,wine,Wine,Numeric,Beverage,"Bottle of Wine (Mid-Range, at the market)",USD
27,x25,beer.market.domestic,Domestic Beer at Market,Numeric,Beverage,"Domestic Beer (0.5 liter bottle, at the market)",USD
28,x26,beer.market.imported,Imported Beer at Restraunts,Numeric,Beverage,"Imported Beer (0.33 liter bottle, at the market)",USD
